year,forecast,lower_ci,upper_ci
2024,65875.177881434,46609.021412987335,85141.33434988068
2025,65875.177881434,46609.021412987335,85141.33434988068
2026,65875.177881434,46609.021412987335,85141.33434988068
2027,65875.177881434,46609.021412987335,85141.33434988068
2028,65875.177881434,46609.021412987335,85141.33434988068
