year,forecast,lower_ci,upper_ci
2024,12658.015383045493,11670.837551120456,13645.19321497053
2025,13221.791754413483,12234.613922488446,14208.96958633852
2026,13785.568125781476,12798.390293856439,14772.745957706513
2027,14349.344497149468,13362.166665224431,15336.522329074505
2028,14913.12086851746,13925.943036592424,15900.298700442498
